Title,Thumbnail,Price
"HP ENVY 13aq1001-ca 13.3” Laptop with Intel® i5-1035G1, 512GB SSD, 8GB RAM & Windows 10 Home",https://www.thesource.ca/medias/20191104140732-108085058-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5NTg4fGltYWdlL2pwZWd8aW1hZ2VzL2hhZC9oZTAvOTE5MDg4OTcxNzc5MC5qcGd8YzJlMGRmYjRkOWU1YzU5NjY0MWQxOGMyNzE3MzkzZmNmYjU2NWM3YmI1ZTM4YWMyMmI0YWM4NzU4OTNhYjI0OA,$999.99
"Acer Swift 3 SF314-57-563Z 14” Laptop with Intel® i5-1035G1, 256GB SSD, 8GB RAM & Windows 10 Home - Silver",https://www.thesource.ca/medias/20200420112900-108087756-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxODEzNXxpbWFnZS9qcGVnfGltYWdlcy9oMzcvaGYwLzkyNDgwNTM3NTU5MzQuanBnfDVmYTc5MzM4ZTA5ODk2ODM1NzBkY2Q1NDFlOGVlMjhiNzliMGYwZDgwMWFiMTc5NjdhNTRiN2QxMzYyNzFmY2M,$799.99
"Acer Aspire A515-52-58ZW 15.6” Laptop with Intel® i5-8265U, 128GB SSD, 8GB RAM & Windows 10 Home - Silver",https://www.thesource.ca/medias/20191024155223-108084680-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMTMxNnxpbWFnZS9qcGVnfGltYWdlcy9oYWMvaGMzLzkxODkwMTM3MTcwMjIuanBnfDc0MTcxYzJlNmE3YTE2MzI1NjczYjAxOTY2MmEzYWZhZjc5Y2RkMDRiYmY3OGZkZGQwODZhNGY2MGIwMmE0YzQ,$649.99
Apple MacBook Air 13.3” 128GB - Gold - English,https://www.thesource.ca/medias/20191029090523-108085240-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5MzA2fGltYWdlL2pwZWd8aW1hZ2VzL2gwMy9oZDcvOTE4OTkwMDE4OTcyNi5qcGd8MjMxMWM4Mjg0NzBhZjMzNzZiYjdmNTdmOGQ4Y2ViMDgxY2QwZTZmYTJkOTBhMjRmNjkwNzE0NjRmNmJiMjE0Yw,"$1,099.99"
"Acer Spin SP314-54N-30TM 14” 2-in-1 Touchscreen Laptop with Intel® i3-1005G1, 256GB SSD, 8GB RAM & Windows 10 Home - Silver",https://www.thesource.ca/medias/20200420125901-108087754-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMzk1OHxpbWFnZS9qcGVnfGltYWdlcy9oODMvaDFhLzkyNDgxOTg0OTIxOTAuanBnfGI4NDQxYjFkMTc1YWM3ZGZiYmJjOGY0YzgxNTMwZTE1NmY3NGU5ZDljMTA5YzFlZmQwMWRjZmNmMzQzZGE0ZjA,$699.99
"Acer Nitro 5 A515-42-R5ED 15.6” Gaming Laptop with AMD Ryzen 5 2500U, 1TB HDD, 8GB RAM, AMD Radeon RX 560X & Windows 10 Home - English",https://www.thesource.ca/medias/20200102113108-108086538-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMDYyM3xpbWFnZS9qcGVnfGltYWdlcy9oMzcvaDRjLzkyMjAxNzQzNDgzMTguanBnfGIwNTE3MzczNzlkNDAyNDdkODFhZDlkNjRlOGIwYmZjYTA1NmRmNjExZmY4NDViNDU3MjViNmVlMWE0MmM4NjY,$749.99
"Acer Aspire A315-42-R198 15.6” Laptop with AMD Ryzen 5 3500U, 256GB SSD, 12GB RAM, AMD Radeon Vega 8 & Windows 10 S - Black",https://www.thesource.ca/medias/20190722133131-108082529-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzNDA2NHxpbWFnZS9qcGVnfGltYWdlcy9oYjYvaGNjLzkxNzE4MDUxMTAzMDIuanBnfDc2NWJmM2U0ZDQ2Y2FhZThlYzBjYzQ0ZTdiM2M5ZjAyYjUyNTE4YjU4MmY3NmE2ZThiM2Y5ODk2YjBjODk0MTc,$599.99
"Acer Chromebook CB514-1H-C4NT 14” Laptop with Intel® N3450, 32GB eMMC, 4GB RAM & Chrome OS - Silver",https://www.thesource.ca/medias/20190711122317-108082526-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyOTQyM3xpbWFnZS9qcGVnfGltYWdlcy9oNWYvaGU1LzkxNjk2NTcxMzUxMzQuanBnfGY0YWUwOGZlZWM1YTdiMjllNjdmMTQyY2FkNzZhNjNhYTIxOWQ1YzFmYTkzN2I0MmViMTdlNWYyYWFiMWI4NTE,$349.99
"Acer Nitro 5 AN515-54-58YY 15.6” Gaming Laptop with Intel® i5-9300H, 1TB HDD, 8GB RAM, NVIDIA GTX 1050 & Windows 10 Home - Black & Red",https://www.thesource.ca/medias/20190711095016-108082521-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMzU3MnxpbWFnZS9qcGVnfGltYWdlcy9oNzUvaDc5LzkxNjk1NDM3MjUwODYuanBnfGMzOTAzMjYyOGRlNGZlMjIxYjU4YWYwZDM5MjVlNmM0MzM0MzA5Nzc4YzI2MzgyNzhiNzI2MjlkYWExYzJjODg,$899.99
"ASUS Transformer T101HA-RH02 CB 10.1” 2-in-1 Touchscreen Laptop with Intel® X8350, 64GB eMMC, 2GB RAM & Windows 10 - Grey",https://www.thesource.ca/medias/20190124160158-108071972-B.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMjIwOHxpbWFnZS9qcGVnfGltYWdlcy9oNDAvaDE1LzkxMzk0OTI4NDc2NDYuanBnfGQzYWNiZmM5NzdmZmUyNzNjMWJlYWI2M2QzN2U1M2U2OTgxN2M4ZWQ2M2M4N2MxZTljOWQyYTQyY2ZkNmRkOWM,$249.99
