Title,Title_link,Thumbnail,reviewCountContainer_2EO6o,Price,price_FHDfG,availabilityMessageSearch_23ZLw,salePrice_kTFZ3,productSaving_3YmNX,availabilityMessageSearchPickup_2eGze
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Platinum (Intel Core i5-1035G7/128GB SSD/8GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-platinum-intel-core-i5-1035g7-128gb-ssd-8gb-ram-english/13949411,https://multimedia.bbycastatic.ca/multimedia/products/500x500/139/13949/13949411.jpg,(140 Reviews),"$1,199.99","$1,199.99",Available online,"$1,199.99",SAVE $150,Sold out in nearby stores
"HP ENVY 13.3"" Laptop - Natural Silver (Intel Core i5-10210U/256GB SSD/8GB RAM/Windows 10)",https://www.bestbuy.ca/en-ca/product/hp-envy-13-3-laptop-natural-silver-intel-core-i5-10210u-256gb-ssd-8gb-ram-windows-10/13819531,https://multimedia.bbycastatic.ca/multimedia/products/500x500/138/13819/13819531.jpg,(3 Reviews),"$1,049.99","$1,049.99",Available online,"$1,049.99",SAVE $150,Available at nearby stores
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Matte Black (Intel Core i5-1035G7/256GB SSD/8GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-matte-black-intel-core-i5-1035g7-256gb-ssd-8gb-ram-english/13949377,https://multimedia.bbycastatic.ca/multimedia/products/500x500/139/13949/13949377.jpg,(102 Reviews),"$1,529.99","$1,529.99",Available online,"$1,529.99",SAVE $200,Available at nearby stores
"HP 820 G2 12"" Laptop - Intel Core i5-5300 5th Gen, 8 GB RAM, 128 GB SSD, Webcam - Refurbished",https://www.bestbuy.ca/en-ca/product/hp-820-g2-12-laptop-intel-core-i5-5300-5th-gen-8-gb-ram-128-gb-ssd-webcam-refurbished/14500894,https://multimedia.bbycastatic.ca/multimedia/products/500x500/145/14500/14500894.jpg,(0 Reviews),$519.99,$519.99,Available online only,$519.99,SAVE $780,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Sandstone (Intel Core i5-1035G7/256GB SSD/8GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-sandstone-intel-core-i5-1035g7-256gb-ssd-8gb-ram-english/13949381,,(74 Reviews),"$1,529.99","$1,529.99",Available online,"$1,529.99",SAVE $200,Sold out in nearby stores
"HP 820 G2 12"" Laptop, Intel Core i5-5300 5th Gen, 8 GB RAM, 500 GB HDD, 12 in Display, Webcam - Refurbished",https://www.bestbuy.ca/en-ca/product/hp-820-g2-12-laptop-intel-core-i5-5300-5th-gen-8-gb-ram-500-gb-hdd-12-in-display-webcam-refurbished/14500891,,(0 Reviews),$529.99,$529.99,Available online only,$529.99,SAVE $770,
"Dell 13.3"" Laptop - Platinum Silver (Intel Core i5-10210U/256GB SSD/8GB RAM/Windows 10)",https://www.bestbuy.ca/en-ca/product/dell-13-3-laptop-platinum-silver-intel-core-i5-10210u-256gb-ssd-8gb-ram-windows-10/14209043,,(41 Reviews),$899.99,$899.99,Available online,,,Sold out in nearby stores
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Matte Black (Intel Core i7-1065G7/256GB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-matte-black-intel-core-i7-1065g7-256gb-ssd-16gb-ram-english/13949385,,(17 Reviews),"$1,949.99","$1,949.99",Available online,"$1,949.99",SAVE $200,Sold out in nearby stores
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Platinum (Intel Core i5-1035G7/128GB SSD/8GB RAM) - French",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-platinum-intel-core-i5-1035g7-128gb-ssd-8gb-ram-french/13949362,,(0 Reviews),"$1,199.99","$1,199.99",Available online,"$1,199.99",SAVE $150,Sold out in nearby stores
"Lenovo ThinkPad Yoga 11E 11.6"" Touchscreen Laptop (Intel Celeron N3150, 8GB RAM, 128GB, Win 10 Pro) - Refurbished",https://www.bestbuy.ca/en-ca/product/lenovo-thinkpad-yoga-11e-11-6-touchscreen-laptop-intel-celeron-n3150-8gb-ram-128gb-win-10-pro-refurbished/14331602,,(0 Reviews),$289.99,$289.99,Available online only,$289.99,SAVE $210,
